tank,size,ration,percent
1,large,0.5%,0.50
2,large,2.0%,2.00
3,small,0.0%,0.00
4,small,1.0%,1.00
5,large,1.0%,1.00
6,large,0.0%,0.00
7,small,2.0%,2.00
8,small,0.5%,0.50
9,small,0.0%,0.00
10,large,2.0%,2.00
11,small,1.0%,1.00
12,small,0.5%,0.50
13,small,1.0%,1.00
14,small,2.0%,2.00
15,small,0.0%,0.00
16,small,0.5%,0.50
17,small,2.0%,2.00
18,large,0.0%,0.00
19,small,1.0%,1.00
20,large,0.5%,0.50
21,small,0.0%,0.00
22,small,2.0%,2.00
23,large,0.5%,0.50
24,small,1.0%,1.00
25,large,0.0%,0.00
26,small,1.0%,1.00
27,small,2.0%,2.00
28,small,0.5%,0.50
29,small,0.5%,0.50
30,small,2.0%,2.00
31,small,0.0%,0.00
32,large,1.0%,1.00
33,small,0.5%,0.50
34,large,1.0%,1.00
35,small,0.0%,0.00
36,large,2.0%,2.00
